title,location,price,area_sqft,wealth_buying,wealth_renting,decision
,Codename Triumph Tower 1,23300000.0,794.0,10634529.06,36534555.19,RENTING is financially better
,Dynamix Luma,22500000.0,624.0,10269395.01,36807246.13,RENTING is financially better
,Acme Stadium View,27500000.0,740.0,12551482.79,42614189.92,RENTING is financially better
,Kalpataru Magnus,87500000.0,1374.0,39936536.15,118312873.73,RENTING is financially better
,Rustomjee Seasons,63000000.0,1140.0,28754306.03,87205107.96,RENTING is financially better
,Codename Lottery,6300000.0,501.0,2875430.6,15986253.26,RENTING is financially better
,Lodha Palava,8900000.0,846.0,4062116.25,16746692.23,RENTING is financially better
,Arihant Avanti,6000000.0,579.0,2738505.34,14963608.6,RENTING is financially better
,Rustomjee Aurelia,11800000.0,687.0,5385727.16,21910439.01,RENTING is financially better
,L & T Evara Heights,26900000.0,1058.0,12277632.26,39283296.31,RENTING is financially better
,One Hiranandani Park,15800000.0,535.0,7211397.39,28498684.98,RENTING is financially better
,Goodwill Wisteria,44200000.0,1605.0,20173655.98,58219547.68,RENTING is financially better
,Codename Life Easy Hai,3500000.0,561.0,1597461.45,11742703.55,RENTING is financially better
,Newa Bhakti Park,28500000.0,1440.0,13007900.35,38404609.62,RENTING is financially better
,Godrej Eternal Palms,29900000.000000004,809.0,13646884.93,45295817.69,RENTING is financially better
,Gami Satyam Skyscape,35300000.0,1362.0,16111539.73,48173004.21,RENTING is financially better
,Yashodeep Siddhivinayak Sankalp,3500000.0,469.0,1597461.45,12472799.82,RENTING is financially better
,Giriraj Classic,14500000.0,652.0,6618054.56,25821043.0,RENTING is financially better
,Millennium Avanish,24900000.000000004,1555.0,11364797.15,32648189.32,RENTING is financially better
,Gurudeo C H S,10000000.0,697.0,4564175.56,19409180.74,RENTING is financially better
,Vishesh Balaji Symphony,9000000.0,611.0,4107758.0,18746162.04,RENTING is financially better
,Godrej Golf Meadows,12000000.0,837.0,5477010.67,20989164.66,RENTING is financially better
,RS Residency,9000000.0,945.0,4107758.0,16095595.16,RENTING is financially better
,Rohan Nidita,11500000.0,1090.0,5248801.89,18308649.93,RENTING is financially better
,Vilas Javdekar Yashwin Enchante,9400000.0,702.0,4290325.03,18562201.6,RENTING is financially better
,Mahindra Happinest Tathawade,8500000.0,702.0,3879549.23,17351251.61,RENTING is financially better
,Silver Meteor,12200000.0,1096.0,5568294.18,19202884.95,RENTING is financially better
,Nyati Era,8200000.0,780.0,3742623.96,16328606.95,RENTING is financially better
,Kasturi The Balmoral Towers,25600000.0,1257.0,11684289.43,35954916.35,RENTING is financially better
,Lodha Panache,13000000.0,862.0,5933428.23,22136268.93,RENTING is financially better
,Palash 2e,13500000.0,1250.0,6161637.01,19729917.28,RENTING is financially better
,Kohinoor Riverdale,9570000.0,769.0,4367916.01,18259236.06,RENTING is financially better
,Prateek Canary,30100000.0,1346.0,13738168.44,41303377.53,RENTING is financially better
,Ivy County,36100000.0,1779.0,16476673.77,45940163.51,RENTING is financially better
,Wave Amore,33100000.0,1327.0,15107421.11,45490658.25,RENTING is financially better
,Greatvalue Sharanam,13500000.0,753.0,6161637.01,23674024.28,RENTING is financially better
,Amrapali Silicon City,12000000.0,1080.0,5477010.67,19060758.22,RENTING is financially better
,Ace Aspire,15500000.0,1495.0,7074472.12,20476639.16,RENTING is financially better
,Amrapali Sapphire,12500000.0,1440.0,5705219.45,16876609.78,RENTING is financially better
,Suman Enclave,9400000.0,1550.0,4290325.03,11832618.62,RENTING is financially better
,Gulshan Bellina,15200000.0,1495.0,6937546.85,20072989.16,RENTING is financially better
,Logix Blossom County,24000000.0,1360.0,10954021.35,32984725.98,RENTING is financially better
,Antriksh Golf View 2,10500000.0,1090.0,4792384.34,16963149.94,RENTING is financially better
,TARC Ishva,62800000.0,2858.0,28663022.52,73302253.77,RENTING is financially better
,All Punjabi Welfare Association,30000000.0,1650.0,13692526.68,38756335.52,RENTING is financially better
,Navraj The Antalyas,25500000.0,1913.0,11638647.68,30614462.54,RENTING is financially better
,Malibu Town,28900000.0,1500.0,13190467.37,38466659.87,RENTING is financially better
,Sushant Lok 3,17800000.0,1400.0,8124232.5,24325192.89,RENTING is financially better
,DLF Park Place,65000000.0,1983.0,29667141.14,83206204.11,RENTING is financially better
,Tata Primanti,42000000.0,1600.0,19169537.35,55299126.84,RENTING is financially better
