title,location,city,price,area_sqft,bedrooms,bathrooms,link
,Spring Field Apartment,Mumbai,"₹
3.20 Cr
₹31,098 per sqft",935 sqft,,,
,Lodha Dioro,Mumbai,"₹
4.50 Cr
₹33,835 per sqft",1330 sqft,,,
,,Mumbai,"₹
2.78 Cr
₹29,418 per sqft",929 sqft,,,
,,Mumbai,"₹
4.80 Cr
₹36,923 per sqft",893 sqft,,,
,Kalpataru Radiance,Mumbai,"₹
5.50 Cr
₹42,802 per sqft",1274 sqft,,,
,Triumph Omkareshwar,Mumbai,"₹
1.35 Cr
₹19,286 per sqft",535 sqft,,,
,Rishabraj Mangal Varsha,Mumbai,"₹
5.50 Cr
₹44,000 per sqft",1250 sqft,,,
,Bellanza Phase 1 Wing A B C at The Prestige City,Mumbai,"₹
3.47 Cr",1053 sqft,,,
,Shapoorji Pallonji The Canvas Residences,Mumbai,"₹
2.24 Cr",644 sqft,,,
,,Mumbai,"₹
5.52 Cr
₹80,000 per sqft",750 sqft,,,
,Oberoi Springs,Mumbai,"₹
4.60 Cr
₹35,521 per sqft",847 sqft,,,
,Kanakia Silicon Valley,Mumbai,"₹
3.60 Cr
₹34,286 per sqft",728 sqft,,,
,,Mumbai,"₹
8.25 Cr
₹43,421 per sqft",1348 sqft,,,
,Sanghvi Infenia,Mumbai,"₹
2.15 Cr
₹23,243 per sqft",648 sqft,,,
,Sushanku Avenue 37,Mumbai,"₹
1.68 Cr
₹16,000 per sqft",649 sqft,,,
,Omkar Alta Monte,Mumbai,"₹
2.35 Cr
₹19,583 per sqft",870 sqft,,,
,Kalpataru Sparkle,Mumbai,"₹
6.99 Cr
₹58,250 per sqft",1100 sqft,,,
,,Mumbai,"₹
9.37 Cr
₹53,148 per sqft",1272 sqft,,,
,,Mumbai,"₹
3.25 Cr
₹43,978 per sqft",739 sqft,,,
,Lodha New Cuffe Parade,Mumbai,"₹
4.10 Cr",1086 sqft,,,
,Birla Ojasvi,Bangalore,"₹
1.49 Cr
₹16,039 per sqft",929 sqft,,,
,EAST PARK RESIDENCES,Bangalore,"₹
2.51 Cr
₹13,255 per sqft",1900 sqft,,,
,Lodha Haven,Bangalore,"₹
3.40 Cr
₹17,000 per sqft",2000 sqft,,,
,Brigade Avalon,Bangalore,"₹
4.60 Cr
₹16,637 per sqft",2765 sqft,,,
,SNN Clermont,Bangalore,"₹
4.60 Cr
₹17,692 per sqft",2500 sqft,,,
,Total Environment Pursuit of a Radical Rhapsody Phase 3,Bangalore,"₹
6.09 Cr",3000 sqft,,,
,Brigade Gateway,Bangalore,"₹
3.50 Cr
₹20,588 per sqft",1400 sqft,,,
,Vajram Vivera,Bangalore,"₹
2.20 Cr
₹14,000 per sqft",1009 sqft,,,
,Prestige Falcon City,Bangalore,"₹
2.10 Cr
₹16,484 per sqft",1274 sqft,,,
,SJR LUXURIA,Bangalore,"₹
2.10 Cr
₹12,537 per sqft",1300 sqft,,,
,Prestige Jindal City,Bangalore,"₹
1.35 Cr
₹12,442 per sqft",762 sqft,,,
,Purva Palm Beach,Bangalore,"₹
2.15 Cr
₹13,190 per sqft",1222 sqft,,,
,Ohana,Bangalore,"₹
5 Cr
₹19,920 per sqft",2210 sqft,,,
,Century Ethos,Bangalore,"₹
5.25 Cr
₹18,421 per sqft",2000 sqft,,,
,Adarsh Palm Retreat Mayberry,Bangalore,"₹
3.50 Cr
₹20,649 per sqft",1315 sqft,,,
,Srikanth Sathvik Nandanam,Bangalore,"₹
1.74 Cr
₹11,615 per sqft",1505 sqft,,,
,,Bangalore,"₹
1.40 Cr
₹8,358 per sqft",1172 sqft,,,
,,Bangalore,"₹
2.05 Cr
₹11,500 per sqft",1785 sqft,,,
,,Bangalore,"₹
1.57 Cr
₹13,397 per sqft",1175 sqft,,,
,,Bangalore,"₹
1.71 Cr
₹7,804 per sqft",2192 sqft,,,
,,New-Delhi,"₹
5.89 Cr
₹26,387 per sqft",2100 sqft,,,
,,New-Delhi,"₹
14.90 Cr
₹88,532 per sqft",187 sqyrd,,,
,DLF Capital Greens 1 and 2,New-Delhi,"₹
2.30 Cr
₹19,167 per sqft",1100 sqft,,,
,Panchsheel Enclave,New-Delhi,"₹
6.25 Cr
₹26,205 per sqft",2250 sqft,,,
