title,location,city,price_total_inr,price_per_sqft,area_sqft,bedrooms,bathrooms,link
,Spring Field Apartment,Mumbai,32000000.0,31098.0,935.0,,,
,Lodha Dioro,Mumbai,45000000.0,33835.0,1330.0,,,
,Kalpataru Radiance,Mumbai,55000000.0,42802.0,1274.0,,,
,Triumph Omkareshwar,Mumbai,13500000.0,19286.0,535.0,,,
,Rishabraj Mangal Varsha,Mumbai,55000000.0,44000.0,1250.0,,,
,Bellanza Phase 1 Wing A B C at The Prestige City,Mumbai,34700000.0,,1053.0,,,
,Shapoorji Pallonji The Canvas Residences,Mumbai,22400000.000000004,,644.0,,,
,Arkade Pearl,Mumbai,32400000.000000004,28017.0,725.0,,,
,Oberoi Springs,Mumbai,46000000.0,35521.0,847.0,,,
,Kanakia Silicon Valley,Mumbai,36000000.0,34286.0,728.0,,,
,Birla Ojasvi,Bangalore,14900000.0,16039.0,929.0,,,
,EAST PARK RESIDENCES,Bangalore,25100000.0,13255.0,1900.0,,,
,Lodha Haven,Bangalore,34000000.0,17000.0,2000.0,,,
,Brigade Avalon,Bangalore,46000000.0,16637.0,2765.0,,,
,SNN Clermont,Bangalore,46000000.0,17692.0,2500.0,,,
,Total Environment Pursuit of a Radical Rhapsody Phase 3,Bangalore,60900000.0,,3000.0,,,
,Brigade Gateway,Bangalore,35000000.0,20588.0,1400.0,,,
,Vajram Vivera,Bangalore,22000000.0,14000.0,1009.0,,,
,Prestige Falcon City,Bangalore,21000000.0,16484.0,1274.0,,,
,SJR LUXURIA,Bangalore,21000000.0,12537.0,1300.0,,,
,Prestige Jindal City,Bangalore,13500000.0,12442.0,762.0,,,
,Purva Palm Beach,Bangalore,21500000.0,13190.0,1222.0,,,
,Ohana,Bangalore,50000000.0,19920.0,2210.0,,,
,Century Ethos,Bangalore,52500000.0,18421.0,2000.0,,,
,Adarsh Lakefront,Bangalore,41000000.0,17711.0,1639.0,,,
,DLF Capital Greens 1 and 2,New-Delhi,23000000.0,19167.0,1100.0,,,
,Panchsheel Enclave,New-Delhi,62500000.0,26205.0,2250.0,,,
,Pragya Apartments,New-Delhi,34500000.0,20294.0,1500.0,,,
,DDA Flats Munirka,New-Delhi,17900000.0,13259.0,1250.0,,,
,Skyline Riverdale,Ernakulam,5300000.0,5464.0,970.0,,,
,Metro Garden,Ernakulam,5700000.0,5182.0,950.0,,,
,ABAD Marine Plaza,Ernakulam,12500000.0,10417.0,1200.0,,,
,Asset Kasavu,Ernakulam,17500000.0,,1800.0,,,
,Rds Oasis,Ernakulam,12500000.0,7669.0,1630.0,,,
,JKB Silicon Vista,Chennai,12500000.0,9500.0,1325.0,,,
,Arch Tech Lake View Apts,Chennai,4000000.0,4494.0,890.0,,,
,BSCPL Bollineni Hillside Phase II,Chennai,5250000.0,5224.0,900.0,,,
